"analog_libid","analog_name","drug_ccmsid","analog_mgf_scan","chemical_source","cleanup_name","broad_pert_iname","Kine_FDA_drug_class","Kine_broad_disease_area","Kine_broad_indication","Kine_broad_moa","inchikey"
"CCMSLIB00012724592","related spectra of 'Escitalopram (Delta Mass:-16.031)'","CCMSLIB00009919487|CCMSLIB00010142216|CCMSLIB00010142217|CCMSLIB00010142218|CCMSLIB00010142219|CCMSLIB00010142220|CCMSLIB00010142221|CCMSLIB00010142222|CCMSLIB00010142223",2232,"Drug_suspect","Escitalopram","citalopram","selective serotonin reuptake inhibitor (SSRI)","neurology/psychiatry","depression","selective serotonin reuptake inhibitor (SSRI)","WSEQXVZVJXJVFP-FQEVSTJZSA-N"
"CCMSLIB00012724593","related spectra of 'Escitalopram (Delta Mass:-14.016)'","CCMSLIB00009919487|CCMSLIB00010142216|CCMSLIB00010142217|CCMSLIB00010142218|CCMSLIB00010142219|CCMSLIB00010142220|CCMSLIB00010142221|CCMSLIB00010142222|CCMSLIB00010142223",2233,"Drug_suspect","Escitalopram","citalopram","selective serotonin reuptake inhibitor (SSRI)","neurology/psychiatry","depression","selective serotonin reuptake inhibitor (SSRI)","WSEQXVZVJXJVFP-FQEVSTJZSA-N"
"CCMSLIB00012724594","related spectra of 'Escitalopram (Delta Mass:15.995)'","CCMSLIB00009919487|CCMSLIB00010142216|CCMSLIB00010142217|CCMSLIB00010142218|CCMSLIB00010142219|CCMSLIB00010142220|CCMSLIB00010142221|CCMSLIB00010142222|CCMSLIB00010142223",2234,"Drug_suspect","Escitalopram","citalopram","selective serotonin reuptake inhibitor (SSRI)","neurology/psychiatry","depression","selective serotonin reuptake inhibitor (SSRI)","WSEQXVZVJXJVFP-FQEVSTJZSA-N"
"CCMSLIB00012724595","related spectra of 'Escitalopram Oxalate (Delta Mass:-14.016)'","CCMSLIB00000078645",2235,"Drug_suspect","escitalopram","citalopram","selective serotonin reuptake inhibitor (SSRI)","neurology/psychiatry","depression","selective serotonin reuptake inhibitor (SSRI)","WSEQXVZVJXJVFP-FQEVSTJZSA-N"
"CCMSLIB00012724596","related spectra of 'EsomeprazoleNa (Delta Mass:-15.995)'","CCMSLIB00000006484|CCMSLIB00000006485|CCMSLIB00000006486",2236,"Drug_suspect","esomeprazole","esomeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","SUBDBMMJDZJVOS-UHFFFAOYSA-N"
"CCMSLIB00012724597","related spectra of 'EsomeprazoleNa (Delta Mass:-14.016)'","CCMSLIB00000006484|CCMSLIB00000006485|CCMSLIB00000006486",2237,"Drug_suspect","esomeprazole","esomeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","SUBDBMMJDZJVOS-UHFFFAOYSA-N"
"CCMSLIB00012724598","related spectra of 'EsomeprazoleNa (Delta Mass:43.991)'","CCMSLIB00000006484|CCMSLIB00000006485|CCMSLIB00000006486",2238,"Drug_suspect","esomeprazole","esomeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","SUBDBMMJDZJVOS-UHFFFAOYSA-N"
"CCMSLIB00012724599","related spectra of 'EsomeprazoleNa (Delta Mass:192.027)'","CCMSLIB00000006484|CCMSLIB00000006485|CCMSLIB00000006486",2239,"Drug_suspect","esomeprazole","esomeprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|Zollinger-Ellison syndrome|peptic ulcer disease (PUD)","ATPase inhibitor","SUBDBMMJDZJVOS-UHFFFAOYSA-N"
"CCMSLIB00012724600","related spectra of 'Ethylenediaminetetraacetic acid EDTA (Delta Mass:-58.006)'","CCMSLIB00005435779|CCMSLIB00005435780",2240,"Drug_suspect|Background/QAQC","EDTA","ethylenediaminetetraacetic-acid","lead chelator|anticoagulant","critical care","metal toxicity","chelating agent","KCXVZYZYPLLWCC-UHFFFAOYSA-N"
"CCMSLIB00012724601","related spectra of 'Ethylenediaminetetraacetic acid EDTA (Delta Mass:57.022)'","CCMSLIB00005435779|CCMSLIB00005435780",2241,"Drug_suspect|Background/QAQC","EDTA","ethylenediaminetetraacetic-acid","lead chelator|anticoagulant","critical care","metal toxicity","chelating agent","KCXVZYZYPLLWCC-UHFFFAOYSA-N"
"CCMSLIB00012724602","related spectra of 'Febuxostat (Delta Mass:14.016)'","CCMSLIB00000004822|CCMSLIB00000004823|CCMSLIB00000004824|CCMSLIB00000004825|CCMSLIB00000004826|CCMSLIB00000004827|CCMSLIB00000004828|CCMSLIB00000004829|CCMSLIB00000004830|CCMSLIB00000004831|CCMSLIB00000004832|CCMSLIB00010140724|CCMSLIB00010140725|CCMSLIB00010140726|CCMSLIB00010140727|CCMSLIB00010140728|CCMSLIB00010140729|CCMSLIB00010140730|CCMSLIB00010140731",2242,"Drug_suspect","febuxostat|Febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N|NA"
"CCMSLIB00012724603","related spectra of 'Febuxostat (Delta Mass:15.995)'","CCMSLIB00000004822|CCMSLIB00000004823|CCMSLIB00000004824|CCMSLIB00000004825|CCMSLIB00000004826|CCMSLIB00000004827|CCMSLIB00000004828|CCMSLIB00000004829|CCMSLIB00000004830|CCMSLIB00000004831|CCMSLIB00000004832|CCMSLIB00010140724|CCMSLIB00010140725|CCMSLIB00010140726|CCMSLIB00010140727|CCMSLIB00010140728|CCMSLIB00010140729|CCMSLIB00010140730|CCMSLIB00010140731",2243,"Drug_suspect","febuxostat|Febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N|NA"
"CCMSLIB00012724604","related spectra of 'Febuxostat (Delta Mass:29.974)'","CCMSLIB00000004822|CCMSLIB00000004823|CCMSLIB00000004824|CCMSLIB00000004825|CCMSLIB00000004826|CCMSLIB00000004827|CCMSLIB00000004828|CCMSLIB00000004829|CCMSLIB00000004830|CCMSLIB00000004831|CCMSLIB00000004832|CCMSLIB00010140724|CCMSLIB00010140725|CCMSLIB00010140726|CCMSLIB00010140727|CCMSLIB00010140728|CCMSLIB00010140729|CCMSLIB00010140730|CCMSLIB00010140731",2244,"Drug_suspect","febuxostat|Febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N|NA"
"CCMSLIB00012724605","related spectra of 'Febuxostat (Uloric) (Delta Mass:14.016)'","CCMSLIB00000078184",2245,"Drug_suspect","febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N"
"CCMSLIB00012724606","related spectra of 'Febuxostat (Uloric) (Delta Mass:15.995)'","CCMSLIB00000078184",2246,"Drug_suspect","febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N"
"CCMSLIB00012724607","related spectra of 'Febuxostat (Uloric) (Delta Mass:29.974)'","CCMSLIB00000078184",2247,"Drug_suspect","febuxostat","febuxostat","xanthine oxidase inhibitor","rheumatology","hyperuricemia|gout","xanthine oxidase inhibitor","BQSJTQLCZDPROO-UHFFFAOYSA-N"
"CCMSLIB00012724608","related spectra of 'Ferrioxamine B [M+Fe-2H] (Delta Mass:-1.98)'","CCMSLIB00000531492|CCMSLIB00001059066",2248,"Drug_suspect","deferoxamine","deferoxamine-mesylate","iron chelator","hematology","acute iron intoxication|iron overload","chelating agent","UBQYURCVBFRUQT-UHFFFAOYSA-N"
"CCMSLIB00012724609","related spectra of 'Ferrioxamine B [M+Fe-2H] (Delta Mass:28.031)'","CCMSLIB00000531492|CCMSLIB00001059066",2249,"Drug_suspect","deferoxamine","deferoxamine-mesylate","iron chelator","hematology","acute iron intoxication|iron overload","chelating agent","UBQYURCVBFRUQT-UHFFFAOYSA-N"
"CCMSLIB00012724610","related spectra of 'GLIMEPIRIDE (Delta Mass:15.995)'","CCMSLIB00000079242|CCMSLIB00000079243",2250,"Drug_suspect","glimepiride","glimepiride","sulfonylurea","endocrinology","type 2 diabetes mellitus","insulin secretagogue","WIGIZIANZCJQQY-UHFFFAOYSA-N"
"CCMSLIB00012724611","related spectra of 'Ginkgolide A (Delta Mass:0.984)'","CCMSLIB00010144971|CCMSLIB00010144972|CCMSLIB00010144973|CCMSLIB00010144974|CCMSLIB00010144975|CCMSLIB00010145261|CCMSLIB00010145262|CCMSLIB00010145263|CCMSLIB00010145264|CCMSLIB00010145265",2251,"Drug_suspect","Ginkgolide A","ginkgolide-A","no_match",NA,NA,"GABA receptor antagonist","FPUXKXIZEIDQKW-UHFFFAOYSA-N"
"CCMSLIB00012724612","related spectra of 'Glipizide (Glucotrol) (Delta Mass:-2.016)'","CCMSLIB00000078249|CCMSLIB00000078250",2252,"Drug_suspect","glipizide","glipizide","sulfonylurea","endocrinology","type 2 diabetes mellitus","insulin secretagogue","ZJJXGWJIGJFDTL-UHFFFAOYSA-N"
"CCMSLIB00012724613","related spectra of 'Glipizide (Glucotrol) (Delta Mass:15.995)'","CCMSLIB00000078249|CCMSLIB00000078250",2253,"Drug_suspect","glipizide","glipizide","sulfonylurea","endocrinology","type 2 diabetes mellitus","insulin secretagogue","ZJJXGWJIGJFDTL-UHFFFAOYSA-N"
"CCMSLIB00012724614","related spectra of 'Glyburide (Diabeta) (Delta Mass:15.995)'","CCMSLIB00000078251|CCMSLIB00000078252",2254,"Drug_suspect","glyburide","glyburide","sulfonylurea","endocrinology","type 2 diabetes mellitus","ATP channel blocker|insulin secretagogue","ZNNLBTZKUZBEKO-UHFFFAOYSA-N"
"CCMSLIB00012724623","related spectra of 'Griseofulvin (Delta Mass:14.016)'","CCMSLIB00000077081|CCMSLIB00000077082|CCMSLIB00004684925|CCMSLIB00004684926|CCMSLIB00004684927|CCMSLIB00004684928|CCMSLIB00004692129|CCMSLIB00004692130|CCMSLIB00004692131|CCMSLIB00004692132|CCMSLIB00004692133|CCMSLIB00004692134|CCMSLIB00004692135|CCMSLIB00004692136|CCMSLIB00004692137|CCMSLIB00004692138|CCMSLIB00004692139|CCMSLIB00004692140|CCMSLIB00008851495",2263,"Drug_suspect","griseofulvin","griseofulvin","tubulin inhibiting agent","infectious disease","ringworm|tinea pedis|fungal infections","tubulin polymerization inhibitor","DDUHZTYCFQRHIY-RBHXEPJQSA-N"
"CCMSLIB00012724624","related spectra of 'Guanosine-5_-Monophosphate (Delta Mass:-79.967)'",NA,2264,"Drug_suspect",NA,NA,NA,NA,NA,NA,NA
"CCMSLIB00012724625","related spectra of 'Guanosine-5_-Monophosphate (Delta Mass:-15.995)'",NA,2265,"Drug_suspect",NA,NA,NA,NA,NA,NA,NA
"CCMSLIB00012724626","related spectra of 'Higenamine (Delta Mass:-15.995)'","CCMSLIB00006439218|CCMSLIB00006439219|CCMSLIB00006439296|CCMSLIB00006439297|CCMSLIB00006439374|CCMSLIB00006439375|CCMSLIB00006439446|CCMSLIB00006439447|CCMSLIB00006439515|CCMSLIB00006439516|CCMSLIB00006516423|CCMSLIB00006516447|CCMSLIB00006516466|CCMSLIB00006516489|CCMSLIB00006516701|CCMSLIB00006516718|CCMSLIB00006516737|CCMSLIB00006516756|CCMSLIB00006516962|CCMSLIB00006516980|CCMSLIB00006516998|CCMSLIB00006517019|CCMSLIB00006517203|CCMSLIB00006517216|CCMSLIB00006517231|CCMSLIB00006517244|CCMSLIB00006517403|CCMSLIB00006517416|CCMSLIB00006517435|CCMSLIB00006517448|CCMSLIB00010144236|CCMSLIB00010144237|CCMSLIB00010144238|CCMSLIB00010144239|CCMSLIB00010144240|CCMSLIB00010144241|CCMSLIB00010144242",2266,"Drug_suspect","HIGENAMINE|Higenamine","higenamine","no_match",NA,NA,"adrenergic receptor agonist","WZRCQWQRFZITDX-UHFFFAOYSA-N"
"CCMSLIB00012724627","related spectra of 'Hispidulin (Delta Mass:12.0)'","CCMSLIB00010143730|CCMSLIB00010143731|CCMSLIB00010143732|CCMSLIB00010143733|CCMSLIB00010143734|CCMSLIB00010143735|CCMSLIB00010143736|CCMSLIB00010143737",2267,"Drug_suspect","Hispidulin","no_match","no_match","no_match","no_match","no_match","IHFBPDAQLQOCBX-UHFFFAOYSA-N"
"CCMSLIB00012724628","related spectra of 'Hydroxyzine 2HCl (Delta Mass:-88.053)'","CCMSLIB00000078630",2268,"Drug_suspect","hydroxyzine","hydroxyzine","histamine-1 (H1) inhibitor","neurology/psychiatry|allergy","anxiety|urticaria|itching","histamine H1 receptor inverse agonist","ZQDWXGKKHFNSQK-UHFFFAOYSA-N"
"CCMSLIB00012724629","related spectra of 'Hydroxyzine 2HCl (Delta Mass:-44.026)'","CCMSLIB00000078630",2269,"Drug_suspect","hydroxyzine","hydroxyzine","histamine-1 (H1) inhibitor","neurology/psychiatry|allergy","anxiety|urticaria|itching","histamine H1 receptor inverse agonist","ZQDWXGKKHFNSQK-UHFFFAOYSA-N"
"CCMSLIB00012724630","related spectra of 'Hydroxyzine 2HCl (Delta Mass:16.031)'","CCMSLIB00000078630",2270,"Drug_suspect","hydroxyzine","hydroxyzine","histamine-1 (H1) inhibitor","neurology/psychiatry|allergy","anxiety|urticaria|itching","histamine H1 receptor inverse agonist","ZQDWXGKKHFNSQK-UHFFFAOYSA-N"
"CCMSLIB00012724631","related spectra of 'Indacaterol (Delta Mass:-18.011)'","CCMSLIB00010131239|CCMSLIB00010131240|CCMSLIB00010131241|CCMSLIB00010131242|CCMSLIB00010131243|CCMSLIB00010131244|CCMSLIB00010131245|CCMSLIB00010131246|CCMSLIB00010131247|CCMSLIB00010131248|CCMSLIB00010131249|CCMSLIB00010131250|CCMSLIB00010131251|CCMSLIB00010136393|CCMSLIB00010136394|CCMSLIB00010136395|CCMSLIB00010136396|CCMSLIB00010136397|CCMSLIB00010136398|CCMSLIB00010136399|CCMSLIB00010136400|CCMSLIB00010136401|CCMSLIB00010136402|CCMSLIB00010136403|CCMSLIB00010136404|CCMSLIB00010136405",2271,"Drug_suspect","Indacaterol","indacaterol","beta-2 adrenergic agonist","pulmonary","chronic obstructive pulmonary disease (COPD)","adrenergic receptor agonist","QZZUEBNBZAPZLX-QFIPXVFZSA-N"
"CCMSLIB00012724632","related spectra of 'Indacaterol Maleate (Delta Mass:-18.011)'","CCMSLIB00000078574",2272,"Drug_suspect","indacaterol","indacaterol","beta-2 adrenergic agonist","pulmonary","chronic obstructive pulmonary disease (COPD)","adrenergic receptor agonist","QZZUEBNBZAPZLX-QFIPXVFZSA-N"
"CCMSLIB00012724633","related spectra of 'Ivacaftor (VX-770) (Delta Mass:13.98)'","CCMSLIB00000078023",2273,"Drug_suspect","ivacaftor","ivacaftor","cystic fibrosis transmembrane conductance regulator (CFTR) potentiator","pulmonary|genetics","cystic fibrosis","CFTR channel potentiator","PURKAOJPTOLRMP-UHFFFAOYSA-N"
"CCMSLIB00012724634","related spectra of 'Ivacaftor (VX-770) (Delta Mass:15.995)'","CCMSLIB00000078023",2274,"Drug_suspect","ivacaftor","ivacaftor","cystic fibrosis transmembrane conductance regulator (CFTR) potentiator","pulmonary|genetics","cystic fibrosis","CFTR channel potentiator","PURKAOJPTOLRMP-UHFFFAOYSA-N"
"CCMSLIB00012724635","related spectra of 'Ivacaftor (VX-770) (Delta Mass:29.974)'","CCMSLIB00000078023",2275,"Drug_suspect","ivacaftor","ivacaftor","cystic fibrosis transmembrane conductance regulator (CFTR) potentiator","pulmonary|genetics","cystic fibrosis","CFTR channel potentiator","PURKAOJPTOLRMP-UHFFFAOYSA-N"
"CCMSLIB00012724636","related spectra of 'LEVOCETIRIZINE (Delta Mass:-44.026)'","CCMSLIB00000079138",2276,"Drug_suspect","levocetirizine","cetirizine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","ZKLPARSLTMPFCP-OAQYLSRUSA-N"
"CCMSLIB00012724637","related spectra of 'Lansoprazole (Delta Mass:-15.995)'","CCMSLIB00000006481|CCMSLIB00000006482|CCMSLIB00000006483|CCMSLIB00000078113|CCMSLIB00000078114",2277,"Drug_suspect","lansoprazole","dexlansoprazole","proton pump inhibitor","gastroenterology","gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|gastrointestinal ulcers|Zollinger-Ellison syndrome","ATPase inhibitor","MJIHNNLFOKEZEW-UHFFFAOYSA-N"
"CCMSLIB00012724638","related spectra of 'Levocetirizine (Delta Mass:-58.006)'","CCMSLIB00000081597|CCMSLIB00010134357|CCMSLIB00010134358|CCMSLIB00010134359|CCMSLIB00010134360|CCMSLIB00010134361",2278,"Drug_suspect","levocetirizine|Levocetirizine","cetirizine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","ZKLPARSLTMPFCP-OAQYLSRUSA-N"
"CCMSLIB00012724639","related spectra of 'Levocetirizine (Delta Mass:-44.026)'","CCMSLIB00000081597|CCMSLIB00010134357|CCMSLIB00010134358|CCMSLIB00010134359|CCMSLIB00010134360|CCMSLIB00010134361",2279,"Drug_suspect","levocetirizine|Levocetirizine","cetirizine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","ZKLPARSLTMPFCP-OAQYLSRUSA-N"
"CCMSLIB00012724640","related spectra of 'Levocetirizine (Delta Mass:15.995)'","CCMSLIB00000081597|CCMSLIB00010134357|CCMSLIB00010134358|CCMSLIB00010134359|CCMSLIB00010134360|CCMSLIB00010134361",2280,"Drug_suspect","levocetirizine|Levocetirizine","cetirizine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","ZKLPARSLTMPFCP-OAQYLSRUSA-N"
"CCMSLIB00012724641","related spectra of 'Levocetirizine (Delta Mass:21.984)'","CCMSLIB00000081597|CCMSLIB00010134357|CCMSLIB00010134358|CCMSLIB00010134359|CCMSLIB00010134360|CCMSLIB00010134361",2281,"Drug_suspect","levocetirizine|Levocetirizine","cetirizine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","ZKLPARSLTMPFCP-OAQYLSRUSA-N"
"CCMSLIB00012724642","related spectra of 'Lincomycin A (Delta Mass:-29.994)'","CCMSLIB00004721938",2282,"Drug_suspect","lincomycin","lincomycin","lincosamide antibacterial","infectious disease","gram-positive bacterial infections","protein synthesis inhibitor by binding 50S ribosomal subunit","OJMMVQQUTAEWLP-KIDUDLJLSA-N"
"CCMSLIB00012724643","related spectra of 'Lincomycin A (Delta Mass:-14.016)'","CCMSLIB00004721938",2283,"Drug_suspect","lincomycin","lincomycin","lincosamide antibacterial","infectious disease","gram-positive bacterial infections","protein synthesis inhibitor by binding 50S ribosomal subunit","OJMMVQQUTAEWLP-KIDUDLJLSA-N"
"CCMSLIB00012724644","related spectra of 'Lincomycin A (Delta Mass:15.995)'","CCMSLIB00004721938",2284,"Drug_suspect","lincomycin","lincomycin","lincosamide antibacterial","infectious disease","gram-positive bacterial infections","protein synthesis inhibitor by binding 50S ribosomal subunit","OJMMVQQUTAEWLP-KIDUDLJLSA-N"
"CCMSLIB00012724539","related spectra of 'Darunavir (Delta Mass:-43.99)'","CCMSLIB00010137589|CCMSLIB00010137590|CCMSLIB00010137591|CCMSLIB00010137592|CCMSLIB00010137593|CCMSLIB00010137594|CCMSLIB00010137595|CCMSLIB00010137596|CCMSLIB00010138287|CCMSLIB00010138288|CCMSLIB00010138289|CCMSLIB00010138290|CCMSLIB00010138291|CCMSLIB00010138292|CCMSLIB00010138293|CCMSLIB00010138294",2179,"Drug_suspect","Darunavir","darunavir","HIV protease inhibitor","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","CJBJHOAVZSMMDJ-HEXNFIEUSA-N"
"CCMSLIB00012724540","related spectra of 'Darunavir (Delta Mass:-2.016)'","CCMSLIB00010137589|CCMSLIB00010137590|CCMSLIB00010137591|CCMSLIB00010137592|CCMSLIB00010137593|CCMSLIB00010137594|CCMSLIB00010137595|CCMSLIB00010137596|CCMSLIB00010138287|CCMSLIB00010138288|CCMSLIB00010138289|CCMSLIB00010138290|CCMSLIB00010138291|CCMSLIB00010138292|CCMSLIB00010138293|CCMSLIB00010138294",2180,"Drug_suspect","Darunavir","darunavir","HIV protease inhibitor","infectious disease","human immunodeficiency virus (HIV-1)","HIV protease inhibitor","CJBJHOAVZSMMDJ-HEXNFIEUSA-N"
"CCMSLIB00012724648","related spectra of 'Losartan (Delta Mass:-2.016)'","CCMSLIB00000579704|CCMSLIB00003061260|CCMSLIB00009919309",2288,"Drug_suspect","losartan|Losartan","losartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","PSIFNNKUMBGKDQ-UHFFFAOYSA-N"
"CCMSLIB00012724649","related spectra of 'Losartan (Delta Mass:15.975)'","CCMSLIB00000579704|CCMSLIB00003061260|CCMSLIB00009919309",2289,"Drug_suspect","losartan|Losartan","losartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","PSIFNNKUMBGKDQ-UHFFFAOYSA-N"
"CCMSLIB00012724650","related spectra of 'Losartan (Delta Mass:15.995)'","CCMSLIB00000579704|CCMSLIB00003061260|CCMSLIB00009919309",2290,"Drug_suspect","losartan|Losartan","losartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","PSIFNNKUMBGKDQ-UHFFFAOYSA-N"
"CCMSLIB00012724651","related spectra of 'Losartan carboxaldehyde [EXP3179] (Delta Mass:4.032)'","CCMSLIB00003061262",2291,"Drug_suspect","Losartan Carboxaldehyde","losartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","FQZSMTSTFMNWQF-UHFFFAOYSA-N"
"CCMSLIB00012724652","related spectra of 'Losartan carboxaldehyde [EXP3179] (Delta Mass:18.01)'","CCMSLIB00003061262",2292,"Drug_suspect","Losartan Carboxaldehyde","losartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","FQZSMTSTFMNWQF-UHFFFAOYSA-N"
"CCMSLIB00012724653","related spectra of 'Losartan carboxylic acid [EXP3174] (Delta Mass:-31.991)'","CCMSLIB00003061261",2293,"Drug_suspect","Losartan carboxylic acid","carboxylosartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","ZEUXAIYYDDCIRX-UHFFFAOYSA-N"
"CCMSLIB00012724654","related spectra of 'Losartan carboxylic acid [EXP3174] (Delta Mass:2.016)'","CCMSLIB00003061261",2294,"Drug_suspect","Losartan carboxylic acid","carboxylosartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","ZEUXAIYYDDCIRX-UHFFFAOYSA-N"
"CCMSLIB00012724655","related spectra of 'Losartan carboxylic acid [EXP3174] (Delta Mass:15.995)'","CCMSLIB00003061261",2295,"Drug_suspect","Losartan carboxylic acid","carboxylosartan","angiotensin II receptor blocker","cardiology|nephrology","hypertension|diabetic nephropathy","angiotensin receptor antagonist","ZEUXAIYYDDCIRX-UHFFFAOYSA-N"
"CCMSLIB00012724656","related spectra of 'MLS000028587-01!MELOXICAM (Delta Mass:15.995)'","CCMSLIB00000085616",2296,"Drug_suspect","meloxicam","meloxicam","nonsteroidal anti-inflammatory drug","rheumatology|neurology/psychiatry","osteoarthritis|rheumatoid arthritis","cyclooxygenase inhibitor","ZRVUJXDFFKFLMG-UHFFFAOYSA-N"
"CCMSLIB00012724657","related spectra of 'MLS000069729-01!603-50-9 (Delta Mass:-42.01)'","CCMSLIB00000085931",2297,"Drug_suspect","bisacodyl","bisacodyl","stimulant laxative","gastroenterology","constipation","laxative","KHOITXIGCFIULA-UHFFFAOYSA-N"
"CCMSLIB00012724658","related spectra of 'MLS000766281-01! (Delta Mass:14.016)'","CCMSLIB00000080570",2298,"Drug_suspect","galantamine","galantamine","cholinesterase inhibitor","neurology/psychiatry","senile dementia","acetylcholinesterase inhibitor","ASUTZQLVASHGKV-UHFFFAOYSA-N"
"CCMSLIB00012724659","related spectra of 'MLS000766281-01! (Delta Mass:15.995)'","CCMSLIB00000080570",2299,"Drug_suspect","galantamine","galantamine","cholinesterase inhibitor","neurology/psychiatry","senile dementia","acetylcholinesterase inhibitor","ASUTZQLVASHGKV-UHFFFAOYSA-N"
"CCMSLIB00012724660","related spectra of 'MLS000863291-01! (Delta Mass:-56.062)'","CCMSLIB00000085413",2300,"Drug_suspect","itraconazole","itraconazole","azole antifungal","infectious disease","onychomycosis|histoplasmosis|blastomycosis|aspergillosis","lanosterol 14-alpha-demethylase inhibitor","VHVPQPYKVGDNFY-ZPGVKDDISA-N"
"CCMSLIB00012724661","related spectra of 'MLS001076668-01!BENAZEPRIL HYDROCHLORIDE (Delta Mass:-28.031)'","CCMSLIB00000085360",2301,"Drug_suspect","benazepril","benazepril","angiotensin converting enzyme inhibitor","cardiology|nephrology","hypertension|congestive heart failure|myocardial infarction|diabetic nephropathy|chronic kidney disease","angiotensin converting enzyme inhibitor","XPCFTKFZXHTYIP-PMACEKPBSA-N"
"CCMSLIB00012724662","related spectra of 'MLS001148257-01!(+)-CIS-DILTIAZEM HYDROCHLORIDE (Delta Mass:-56.027)'","CCMSLIB00000085377",2302,"Drug_suspect","diltiazem","diltiazem","nondihydropyridine calcium channel blocker","cardiology","hypertension|angina pectoris","calcium channel blocker","HSUGRBWQSSZJOP-RTWAWAEBSA-N"
"CCMSLIB00012724663","related spectra of 'MLS001148257-01!(+)-CIS-DILTIAZEM HYDROCHLORIDE (Delta Mass:-28.031)'","CCMSLIB00000085377",2303,"Drug_suspect","diltiazem","diltiazem","nondihydropyridine calcium channel blocker","cardiology","hypertension|angina pectoris","calcium channel blocker","HSUGRBWQSSZJOP-RTWAWAEBSA-N"
"CCMSLIB00012724664","related spectra of 'MLS001148257-01!(+)-CIS-DILTIAZEM HYDROCHLORIDE (Delta Mass:176.032)'","CCMSLIB00000085377",2304,"Drug_suspect","diltiazem","diltiazem","nondihydropyridine calcium channel blocker","cardiology","hypertension|angina pectoris","calcium channel blocker","HSUGRBWQSSZJOP-RTWAWAEBSA-N"
"CCMSLIB00012724665","related spectra of 'MLS001165756-01!fexofenadine (Delta Mass:-14.016)'","CCMSLIB00000085405",2305,"Drug_suspect","fexofenadine","fexofenadine","histamine-1 (H1) inhibitor","allergy","allergic rhinitis|urticaria","histamine receptor antagonist","RWTNPBWLLIMQHL-GDLZYMKVSA-N"
"CCMSLIB00012724666","related spectra of 'MLS001240224-01!sildenafil (Delta Mass:-14.016)'","CCMSLIB00000085187|CCMSLIB00000085188",2306,"Drug_suspect","sildenafil","sildenafil","phosphodiesterase-5 (PDE-5) inhibitor","urology|cardiology","erectile dysfunction|pulmonary arterial hypertension (PAH)","phosphodiesterase inhibitor","BNRNXUUZRGQAQC-UHFFFAOYSA-N"
"CCMSLIB00012724667","related spectra of 'MLS001240224-01!sildenafil (Delta Mass:-13.98)'","CCMSLIB00000085187|CCMSLIB00000085188",2307,"Drug_suspect","sildenafil","sildenafil","phosphodiesterase-5 (PDE-5) inhibitor","urology|cardiology","erectile dysfunction|pulmonary arterial hypertension (PAH)","phosphodiesterase inhibitor","BNRNXUUZRGQAQC-UHFFFAOYSA-N"
