analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012723187,"related spectra of 'oglufanide (delta mass:-29.97)', 'golotimod (delta mass:-29.97)'",CCMSLIB00010133731|CCMSLIB00010133732|CCMSLIB00010133733|CCMSLIB00010152308,-29.97,827,Drug_analog|Low_confidence,golotimod|oglufanide,no_match,no_match|NA,no_match|NA,no_match|VEGF antagonist,CATMPQFFVNKDEY-YPMHNXCESA-N|LLEUXCDZPQOJMY-AAEUAGOBSA-N
CCMSLIB00012723188,"related spectra of 'golotimod (delta mass:-29.97)', 'bnc210 (delta mass:-14.02)'",CCMSLIB00010131015|CCMSLIB00010133731|CCMSLIB00010133733,-29.97|-14.02,828,Drug_analog|Low_confidence,bnc210|golotimod,no_match,no_match,no_match,no_match,BVRPESWOSNFUCJ-LKTVYLICSA-N|CATMPQFFVNKDEY-YPMHNXCESA-N
CCMSLIB00012723189,related spectra of 'golotimod (delta mass:-29.97)',CCMSLIB00010133731,-29.97,829,Drug_analog|Low_confidence,golotimod,no_match,no_match,no_match,no_match,CATMPQFFVNKDEY-YPMHNXCESA-N
CCMSLIB00012723190,related spectra of 'oglufanide (delta mass:-29.97)',CCMSLIB00010152308,-29.97,830,Drug_analog|Low_confidence,oglufanide,no_match,NA,NA,VEGF antagonist,LLEUXCDZPQOJMY-AAEUAGOBSA-N
CCMSLIB00012723191,related spectra of 'dolasetron (delta mass:-20.01)',CCMSLIB00003136568,-20.01,831,Drug_analog|Low_confidence,dolasetron,serotonin-3 (5-HT3) receptor antagonist,gastroenterology,nausea|vomiting,serotonin receptor antagonist,UKTAZPQNNNJVKR-AKJUYKBHSA-N
CCMSLIB00012723192,"related spectra of 'methyltestosterone (delta mass:1.98)', 'hydroxyprogesterone caproate (delta mass:-26.02)'",CCMSLIB00005762182|CCMSLIB00005765522|CCMSLIB00005765990|CCMSLIB00005766653|CCMSLIB00005775092|CCMSLIB00006116102|CCMSLIB00006116104|CCMSLIB00006116106|CCMSLIB00006116107|CCMSLIB00006116109,1.98|-26.02,832,Drug_analog|Low_confidence,methyltestosterone|hydroxyprogesterone caproate,androgen|progestin,endocrinology|oncology|obstetrics/gynecology,hypogonadism|breast cancer|spontaneous preterm birth,androgen receptor agonist|progesterone receptor agonist,GCKMFJBGXUYNAG-HLXURNFRSA-N|DBPWSSGDRRHUNT-CEGNMAFCSA-N|DBPWSSGDRRHUNT-SJFWLOONSA-N
CCMSLIB00012723193,related spectra of 'oxandrolone (delta mass:15.99)',CCMSLIB00005723836,15.99,833,Drug_analog,oxandrolone,androstan derivatives,endocrinology,weight gain,androgen receptor agonist,QSLJIVKCVHQPLV-ZXOYHYBESA-N
CCMSLIB00012723194,related spectra of 'medroxyprogesterone (delta mass:-40.03)',CCMSLIB00005773103|CCMSLIB00006119382|CCMSLIB00006119397|CCMSLIB00006119398|CCMSLIB00006119400|CCMSLIB00006119402|CCMSLIB00010118137|CCMSLIB00010150390,-40.03,834,Drug_analog|Low_confidence,medroxyprogesterone,progestin,obstetrics/gynecology,contraceptive,progesterone receptor agonist,FRQMUZJSZHZSGN-HBNHAYAOSA-N
CCMSLIB00012723195,related spectra of 'methyltestosterone (delta mass:1.98)',CCMSLIB00005760099,1.98,835,Drug_analog|Low_confidence,methyltestosterone,androgen,endocrinology|oncology,hypogonadism|breast cancer,androgen receptor agonist,GCKMFJBGXUYNAG-HLXURNFRSA-N
CCMSLIB00012723196,related spectra of 'testosterone propionate (delta mass:-40.03)',CCMSLIB00005763640,-40.03,836,Drug_analog|Low_confidence,testosterone propionate,androgen,endocrinology,hypogonadism,androgen receptor agonist,PDMMFKSKQVNJMI-BLQWBTBKSA-N
CCMSLIB00012723197,related spectra of 'benzalkonium (delta mass:1.0)',CCMSLIB00003135025,1,837,Drug_analog,benzalkonium,antiseptics and disinfectants,NA,antiseptic,antiseptic|preservative,CYDRXTMLKJDRQH-UHFFFAOYSA-N
CCMSLIB00012723198,related spectra of 'norcocaine (delta mass:15.99)',CCMSLIB00004721848,15.99,838,Drug_analog,norcocaine,central nervous system stimulant,drug of abuse,psychostimulant,monoamine transporter inhibitor,AYDBLCSLKNTEJL-RFQIPJPRSA-N
CCMSLIB00012723199,"related spectra of 'oglufanide (delta mass:-27.99)', 'golotimod (delta mass:-27.99)'",CCMSLIB00010133731|CCMSLIB00010133733|CCMSLIB00010152307,-27.99,839,Drug_analog|Low_confidence,golotimod|oglufanide,no_match,no_match|NA,no_match|NA,no_match|VEGF antagonist,CATMPQFFVNKDEY-YPMHNXCESA-N|LLEUXCDZPQOJMY-AAEUAGOBSA-N
CCMSLIB00012723200,"related spectra of 'bnc210 (delta mass:-12.04)', 'golotimod (delta mass:-27.99)'",CCMSLIB00010131014|CCMSLIB00010131015|CCMSLIB00010133731,-12.04|-27.99,840,Drug_analog|Low_confidence,bnc210|golotimod,no_match,no_match,no_match,no_match,BVRPESWOSNFUCJ-LKTVYLICSA-N|CATMPQFFVNKDEY-YPMHNXCESA-N
CCMSLIB00012723201,related spectra of 'vildagliptin (delta mass:2.0)',CCMSLIB00000078549,2,841,Drug_analog,vildagliptin,dipeptidyl peptidase-4 (DPP-4) inhibitor,endocrinology,type 2 diabetes mellitus,dipeptidyl peptidase inhibitor,SYOKIDBDQMKNDQ-XWTIBIIYSA-N
CCMSLIB00012723202,related spectra of 'sulfamethazine (delta mass:27.99)',CCMSLIB00000207282,27.99,842,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723203,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00000207738,-14.02,843,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723204,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003135048|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776685|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,844,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723205,related spectra of 'sulfamethazine (delta mass:27.99)',CCMSLIB00010143272,27.99,845,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723206,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00005775295,-14.02,846,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723207,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00000207746,27.99|-14.02,847,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723208,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,848,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723209,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,849,Drug_analog|Background/QAQC,n-acetyl sulfamethazine|sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N|ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723210,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,850,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723211,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00003135019|CCMSLIB00005774684|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,851,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723212,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207280|CCMSLIB00000207282|CCMSLIB00003135019|CCMSLIB00003136955|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,852,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723213,"related spectra of '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00003135019|CCMSLIB00005775295,-14.02|28.00,853,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723214,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,854,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723215,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003137995|CCMSLIB00005774684|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143272|CCMSLIB00010143273|CCMSLIB00010143275|CCMSLIB00010143276|CCMSLIB00010143278|CCMSLIB00010143279,27.99|-14.02,855,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723216,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00000207738|CCMSLIB00000207744|CCMSLIB00000223720|CCMSLIB00003135048|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,856,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723217,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776685|CCMSLIB00010143272|CCMSLIB00010143273|CCMSLIB00010143278,27.99|-14.02,857,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723218,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,858,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723219,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,859,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723220,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00005775295|CCMSLIB00010143272,27.99|-14.02,860,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723221,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143273|CCMSLIB00010143275|CCMSLIB00010143276|CCMSLIB00010143278|CCMSLIB00010143279,27.99|-14.02,861,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723222,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00005775295|CCMSLIB00010143272,27.99|-14.02,862,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723223,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003135048|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143272|CCMSLIB00010143273|CCMSLIB00010143275|CCMSLIB00010143276|CCMSLIB00010143278|CCMSLIB00010143279,27.99|-14.02,863,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723224,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000223720|CCMSLIB00005775295,27.99|-14.02,864,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723225,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,865,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723226,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207281|CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003136257|CCMSLIB00003136955|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143273|CCMSLIB00010143275|CCMSLIB00010143278,27.99|-14.02,866,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723227,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfadimidine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207281|CCMSLIB00000223720|CCMSLIB00000562784|CCMSLIB00000579538|CCMSLIB00000841836|CCMSLIB00003135019|CCMSLIB00003135048|CCMSLIB00003137995|CCMSLIB00005775295|CCMSLIB00005776263|CCMSLIB00005776685|CCMSLIB00010143275|CCMSLIB00010143276|CCMSLIB00010143278|CCMSLIB00010143279,27.99|-14.02,867,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine|sulfadimidine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723228,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,868,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723229,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00003137995|CCMSLIB00005775295,27.99|-14.02,869,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723230,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,870,Drug_analog|Background/QAQC,n-acetyl sulfamethazine|sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N|ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723231,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,871,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723232,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207276|CCMSLIB00000207282|CCMSLIB00000207744|CCMSLIB00000223720|CCMSLIB00003135019|CCMSLIB00003135048|CCMSLIB00010143272,27.99|-14.02,872,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723233,"related spectra of 'sulfamethazine (delta mass:27.99)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000223720|CCMSLIB00003135019,27.99,873,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723234,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00003136257|CCMSLIB00003136955|CCMSLIB00003137995|CCMSLIB00003138861|CCMSLIB00005774974|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,874,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723235,related spectra of 'sulfamethazine (delta mass:27.99)',CCMSLIB00000207282|CCMSLIB00000223720|CCMSLIB00010143273,27.99,875,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723236,related spectra of '100-90-3 (delta mass:-14.02)',CCMSLIB00005775295,-14.02,876,Drug_analog|Background/QAQC,n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723237,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00005775295|CCMSLIB00010143273,27.99|-14.02,877,Drug_analog|Background/QAQC,n-acetyl sulfamethazine|sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,LJKAKWDUZRJNPJ-UHFFFAOYSA-N|ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012723238,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)'",CCMSLIB00000207274|CCMSLIB00000207738|CCMSLIB00000207744,27.99|-14.02,878,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723239,"related spectra of 'sulfamethazine (delta mass:27.99)', '100-90-3 (delta mass:-14.02)', 'sulfamethazine (delta mass:28.0)'",CCMSLIB00000207282|CCMSLIB00003135019|CCMSLIB00005775295|CCMSLIB00010143272|CCMSLIB00010143273,27.99|-14.02,879,Drug_analog|Background/QAQC,sulfamethazine|n-acetyl sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N|LJKAKWDUZRJNPJ-UHFFFAOYSA-N
CCMSLIB00012723240,related spectra of 'sulfamethazine (delta mass:27.99)',CCMSLIB00000223720,27.99,880,Drug_analog|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
