FeatureID,SpectrumID,row m/z,row retention time,Compound_Name,name_compound,name_parent_compound,cleanup_name_drug_only,Group,chemical_source,pharmacologic_class,therapeutic_area,therapeutic_indication,Final_class
17978,CCMSLIB00013655061,292.2060195,4.914903,"Massbank:AU271206 Terbinafine|(E)-N,6,6-trimethyl-N-(naphthalen-1-ylmethyl)hept-2-en-4-yn-1-amine",terbinafine,terbinafine,terbinafine,both,Medical,allylamine antifungal,infectious disease,tinea pedis|tinea cruris|tinea corporis,antifungal
15881,CCMSLIB00013643405,308.2047041,4.463684,related spectra of 'Spectral Match to Terbinafine from NIST14 (Delta Mass:15.995)',related spectra of 'spectral match to terbinafine from nist14 (delta mass:15.995)',terbinafine,terbinafine,both,Drug_analog,allylamine antifungal,infectious disease,tinea pedis|tinea cruris|tinea corporis,antifungal
16733,CCMSLIB00013650727,389.1626457,4.562552,Massbank:AU212403 Cetirizine|Levocetirizine|2-[2-[4-[(R)-(4-chlorophenyl)-phenylmethyl]piperazin-1-ium-1-yl]ethoxy]acetate,cetirizine,cetirizine,cetirizine,both,Medical,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,antihistamine
11177,CCMSLIB00013650032,363.1507913,3.5322447,related spectra of 'cetirizine (Delta Mass:-26.02)',related spectra of 'cetirizine (Delta Mass:-26.02)',cetirizine,cetirizine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,antihistamine
17551,CCMSLIB00013654445,359.1504146,4.6626763,related spectra of 'cetirizine (Delta Mass:-30.01)',related spectra of 'cetirizine (Delta Mass:-30.01)',cetirizine,cetirizine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,antihistamine
16895,CCMSLIB00013654446,392.1652971,4.6102767,related spectra of 'cetirizine (Delta Mass:3.00)',related spectra of 'cetirizine (Delta Mass:3.00)',cetirizine,cetirizine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,antihistamine
16724,CCMSLIB00013654733,391.1581241,4.5298367,"""related spectra of 'cetirizine (Delta Mass:2.00)', 'levocetirizine (Delta Mass:2.00)', 'hydroxyzine (Delta Mass:15.97)'""",related spectra of 'cetirizine (Delta Mass:2.00)'|'levocetirizine (Delta Mass:2.00)'|'hydroxyzine (Delta Mass:15.97)',cetirizine|levocetirizine|hydroxyzine,cetirizine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy|neurology/psychiatry,allergic rhinitis|urticaria|anxiety|itching,antihistamine
15555,CCMSLIB00013654584,345.134525,4.443846,related spectra of 'LEVOCETIRIZINE (Delta Mass:-44.026)',related spectra of 'levocetirizine (delta mass:-44.026)',levocetirizine,cetirizine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria,antihistamine
12961,CCMSLIB00013654695,432.1995806,3.944666,Diphenhydramine-N-glucuronide,diphenhydramine-n-glucuronide,diphenhydramine,diphenhydramine,both,Drug metabolite,histamine-1 (H1) inhibitor,allergy,seasonal allergy|allergic rashes|urticaria,antihistamine
13957,CCMSLIB00013654697,256.1694179,4.19448,"Massbank:AU267102 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine",diphenhydramine,diphenhydramine,diphenhydramine,both,Medical,histamine-1 (H1) inhibitor,allergy,seasonal allergy|allergic rashes|urticaria,antihistamine
14219,CCMSLIB00013646483,242.1537543,4.1238837,"""related spectra of 'Massbank:AU267103 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (Delta Mass:-14.016)'""","related spectra of 'massbank:au267103 diphenhydramine|2-benzhydryloxy-n,n-dimethylethanamine (delta mass:-14.016)'",diphenhydramine,diphenhydramine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,seasonal allergy|allergic rashes|urticaria,antihistamine
12733,CCMSLIB00013644014,272.1675413,3.7109642,"""related spectra of 'Massbank:AU267106 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (Delta Mass:15.995)'""","related spectra of 'massbank:au267106 diphenhydramine|2-benzhydryloxy-n,n-dimethylethanamine (delta mass:15.995)'",diphenhydramine,diphenhydramine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,seasonal allergy|allergic rashes|urticaria,antihistamine
13800,CCMSLIB00013650021,388.2127808,4.0801015,related spectra of 'Diphenhydramine N-glucose (Delta Mass:-30.01)',related spectra of 'diphenhydramine n-glucose (delta mass:-30.01)',diphenhydramine n-glucose,diphenhydramine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,seasonal allergy|allergic rashes|urticaria,antihistamine
17014,CCMSLIB00013652908,375.175466,4.5910716,Hydroxyzine 2HCl,hydroxyzine,hydroxyzine,hydroxyzine,both,Medical,histamine-1 (H1) inhibitor,neurology/psychiatry|allergy,anxiety|urticaria|itching,antihistamine
16206,CCMSLIB00013652936,287.1307351,4.4455876,related spectra of 'Hydroxyzine 2HCl (Delta Mass:-88.053)',related spectra of 'hydroxyzine 2hcl (delta mass:-88.053)',hydroxyzine,hydroxyzine,both,Drug_analog,histamine-1 (H1) inhibitor,neurology/psychiatry|allergy,anxiety|urticaria|itching,antihistamine
16003,CCMSLIB00013652936,331.1573483,4.432831,related spectra of 'Hydroxyzine 2HCl (Delta Mass:-44.026)',related spectra of 'hydroxyzine 2hcl (delta mass:-44.026)',hydroxyzine,hydroxyzine,both,Drug_analog,histamine-1 (H1) inhibitor,neurology/psychiatry|allergy,anxiety|urticaria|itching,antihistamine
18029,CCMSLIB00013646336,385.148871,4.770775,Loratadine,loratadine,loratadine,loratadine,both,Medical,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|itching,antihistamine
10068,CCMSLIB00013654575,327.1299763,3.4268417,related spectra of 'Desloratadine (Delta Mass:15.995)',related spectra of 'desloratadine (delta mass:15.995)',desloratadine,loratadine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|urticaria|pruritus,antihistamine
18053,CCMSLIB00013654576,386.1613923,4.9193387,related spectra of 'loratadine (Delta Mass:1.00)',related spectra of 'loratadine (Delta Mass:1.00)',loratadine,loratadine,both,Drug_analog,histamine-1 (H1) inhibitor,allergy,allergic rhinitis|itching,antihistamine
23357,CCMSLIB00013641766,482.3241548,5.767912,Spectral Match to HEPC from NIST14,miltefosine,miltefosine,miltefosine,drug_only,Medical,antileishmanial drug,infectious disease,leishmaniasis,antileishmanial drug
7911,CCMSLIB00013646572,168.5954163,2.8119795,Spectral Match to Hydroxychloroquine from NIST14,hydroxychloroquine,hydroxychloroquine,hydroxychloroquine,both,Medical,antirheumatic|antimalarial,infectious disease|rheumatology,malaria|rheumatoid arthritis|lupus,antimalaria
8106,CCMSLIB00013653959,336.1889828,2.6585963,Massbank:AU274106 Hydroxychloroquine|2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol,hydroxychloroquine,hydroxychloroquine,hydroxychloroquine,both,Medical,antirheumatic|antimalarial,infectious disease|rheumatology,malaria|rheumatoid arthritis|lupus,antimalaria
6702,CCMSLIB00013655204,308.1600885,2.8705084,"""related spectra of 'chloroquine (Delta Mass:-12.04)', 'hydroxychloroquine  (Delta Mass:-28.03)', 'chloroquine  (Delta Mass:-12.04)'""",related spectra of 'chloroquine (Delta Mass:-12.04)'|'hydroxychloroquine  (Delta Mass:-28.03)'|'chloroquine  (Delta Mass:-12.04)',hydroxychloroquine|chloroquine,hydroxychloroquine,both,Drug_analog,antimalarial|antirheumatic,infectious disease|rheumatology,malaria|amebiasis|rheumatoid arthritis|lupus,antimalaria
8692,CCMSLIB00013655249,350.1697702,3.1037302,related spectra of 'Massbank:AU274106 Hydroxychloroquine|2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol (Delta Mass:13.98)',related spectra of 'massbank:au274106 hydroxychloroquine|2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol (delta mass:13.98)',hydroxychloroquine,hydroxychloroquine,both,Drug_analog,antirheumatic|antimalarial,infectious disease|rheumatology,malaria|rheumatoid arthritis|lupus,antimalaria
23939,CCMSLIB00013649284,304.2996413,5.888823,Spectral Match to Benzyldodecyldimethylammonium from NIST14,benzalkonium,benzalkonium,benzalkonium,both,Medical,antiseptics and disinfectants,NA,antiseptic,antiseptic
14407,CCMSLIB00013653963,306.2426442,4.181484,related spectra of 'Spectral Match to Benzyldodecyldimethylammonium from NIST14 (Delta Mass:1.943)',related spectra of 'spectral match to benzyldodecyldimethylammonium from nist14 (delta mass:1.943)',benzalkonium,benzalkonium,both,Drug_analog,antiseptics and disinfectants,NA,antiseptic,antiseptic
17226,CCMSLIB00013651942,334.2734179,4.646414,related spectra of 'Spectral Match to Benzyldodecyldimethylammonium from NIST14 (Delta Mass:29.974)',related spectra of 'spectral match to benzyldodecyldimethylammonium from nist14 (delta mass:29.974)',benzalkonium,benzalkonium,both,Drug_analog,antiseptics and disinfectants,NA,antiseptic,antiseptic
19476,CCMSLIB00013642861,334.2739818,5.0281878,related spectra of 'Spectral Match to 1-Hexadecylpyridinium from NIST14 (Delta Mass:29.974)',related spectra of 'spectral match to 1-hexadecylpyridinium from nist14 (delta mass:29.974)',cetylpyridinium,cetylpyridinium,analog_only,Drug_analog,antiseptics and disinfectants,dental,gingivitis|mouth inflammation,antiseptics and disinfectants
19599,CCMSLIB00013653172,369.2264049,4.9700527,cinnarizine,cinnarizine ,cinnarizine ,cinnarizine ,drug_only,Medical,antivertigo preparations,neurology/psychiatry|gastroenterology,Meniere's disease|nausea|vomiting|Cogan's syndrome,antivertigo preparations
12518,CCMSLIB00013653983,386.2543553,3.7988849,"Massbank:LU052002 Buspirone|8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione",buspirone,buspirone,buspirone,both,Medical,anxiolytics,neurology/psychiatry,generalized anxiety disorder (GAD),anxiolytics
12572,CCMSLIB00013642250,402.251183,3.5823495,related spectra of 'buspirone (Delta Mass:15.995)',related spectra of 'buspirone (delta mass:15.995)',buspirone,buspirone,both,Drug_analog,anxiolytics,neurology/psychiatry,generalized anxiety disorder (GAD),anxiolytics
7478,CCMSLIB00013652853,418.2447218,2.7759101,"""related spectra of 'tandospirone  (Delta Mass:34.01)', 'buspirone  (Delta Mass:31.99)'""",related spectra of 'tandospirone  (Delta Mass:34.01)'|'buspirone  (Delta Mass:31.99)',buspirone ,buspirone,both,Drug_analog,no_match|anxiolytics,neurology/psychiatry,generalized anxiety disorder (GAD)|dysthymic disorder,anxiolytics
28747,CCMSLIB00013655019,586.2174839,6.8633194,Massbank:AU274504 Montelukast|UCHDWCPVSPXUMX-UHFFFAOYSA-N|2-[1-[[1-[3-[2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetic acid,montelukast,montelukast,montelukast,both,Medical,leukotriene receptor antagonist (LTRA),pulmonary|allergy,asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB),asthma medication
24800,CCMSLIB00013642705,602.2102574,6.0558667,related spectra of 'Massbank:AU274504 Montelukast|UCHDWCPVSPXUMX-UHFFFAOYSA-N|2-[1-[[1-[3-[2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetic acid (Delta Mass:15.995)',related spectra of 'massbank:au274504 montelukast|uchdwcpvspxumx-uhfffaoysa-n|2-[1-[[1-[3-[2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetic acid (delta mass:15.995)',montelukast,montelukast,both,Drug_analog,leukotriene receptor antagonist (LTRA),pulmonary|allergy,asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB),asthma medication
19084,CCMSLIB00013650742,448.1531915,4.743025,ARIPIPRAZOLE,aripiprazole,aripiprazole,aripiprazole,both,Medical,atypical antipsychotic,neurology/psychiatry,depression|schizophrenia|bipolar disorder,atypical antipsychotic
14007,CCMSLIB00013652924,446.1345066,4.4762087,related spectra of 'aripiprazole (Delta Mass:-2.02)',related spectra of 'aripiprazole (Delta Mass:-2.02)',aripiprazole,aripiprazole,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,depression|schizophrenia|bipolar disorder,atypical antipsychotic
17872,CCMSLIB00013653979,464.1492161,4.3246264,related spectra of 'aripiprazole (Delta Mass:15.99)',related spectra of 'aripiprazole (Delta Mass:15.99)',aripiprazole,aripiprazole,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,depression|schizophrenia|bipolar disorder,atypical antipsychotic
16454,CCMSLIB00013653184,451.1504511,4.5036597,related spectra of 'aripiprazole (Delta Mass:3.00)',related spectra of 'aripiprazole (Delta Mass:3.00)',aripiprazole,aripiprazole,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,depression|schizophrenia|bipolar disorder,atypical antipsychotic
6056,CCMSLIB00013646313,343.1226208,2.572555,related spectra of 'clozapine (Delta Mass:15.99)',related spectra of 'clozapine (Delta Mass:15.99)',clozapine,clozapine,analog_only,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia,atypical antipsychotic
19141,CCMSLIB00013650691,493.2629989,4.9569683,Lurasidone HCl,lurasidone,lurasidone,lurasidone,drug_only,Medical,atypical antipsychotic,neurology/psychiatry,schizophrenia,atypical antipsychotic
7947,CCMSLIB00013654532,313.1402214,2.8395941,MoNA:970853 Olanzapine,olanzapine,olanzapine,olanzapine,drug_only,Medical,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
13418,CCMSLIB00013642243,384.1682177,3.9823284,QUETIAPINE HEMIFUMARATE,quetiapine,quetiapine,quetiapine,both,Medical,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
10647,CCMSLIB00013649313,400.1731159,3.6649137,Quetiapine Sulfoxide,quetiapine sulfoxide ,quetiapine sulfoxide ,quetiapine,both,Drug metabolite,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
8657,CCMSLIB00013653943,400.1729357,3.0652132,related spectra of 'QUETIAPINE HEMIFUMARATE (Delta Mass:15.995)',related spectra of 'quetiapine hemifumarate (delta mass:15.995)',quetiapine,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
12573,CCMSLIB00013653966,340.1490833,3.8763354,related spectra of 'Spectral Match to Quetiapine from METLIN (Delta Mass:-44.026)',related spectra of 'spectral match to quetiapine from metlin (delta mass:-44.026)',quetiapine,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
13403,CCMSLIB00013654351,398.1532202,3.978194,related spectra of 'quetiapine (Delta Mass:13.98)',related spectra of 'quetiapine (delta mass:13.98)',quetiapine,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
8802,CCMSLIB00013655275,372.1428411,3.1463768,related spectra of 'quetiapine (Delta Mass:-12.04)',related spectra of 'quetiapine (Delta Mass:-12.04)',quetiapine,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
9009,CCMSLIB00013643733,312.119755,3.3147912,related spectra of 'Quetiapine Sulfoxide (Delta Mass:-88.053)',related spectra of 'quetiapine sulfoxide (delta mass:-88.053)',quetiapine sulfoxide,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
12488,CCMSLIB00013643755,356.1449852,3.6475508,related spectra of 'Quetiapine Sulfoxide (Delta Mass:-44.026)',related spectra of 'quetiapine sulfoxide (delta mass:-44.026)',quetiapine sulfoxide,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
10724,CCMSLIB00013653961,374.1590274,3.228637,related spectra of 'Quetiapine Sulfoxide (Delta Mass:-26.016)',related spectra of 'quetiapine sulfoxide (delta mass:-26.016)',quetiapine sulfoxide,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
11217,CCMSLIB00013650702,414.1479754,3.6630845,related spectra of 'Quetiapine Sulfoxide (Delta Mass:13.98)',related spectra of 'quetiapine sulfoxide (delta mass:13.98)',quetiapine sulfoxide,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
9043,CCMSLIB00013650702,416.1668236,3.1101236,related spectra of 'Quetiapine Sulfoxide (Delta Mass:15.995)',related spectra of 'quetiapine sulfoxide (delta mass:15.995)',quetiapine sulfoxide,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
14656,CCMSLIB00013654700,368.1470776,4.213344,"""related spectra of 'quetiapine (Delta Mass:-16.03)', 'quetiapine  (Delta Mass:-16.03)'""",related spectra of 'quetiapine (Delta Mass:-16.03)'|'quetiapine  (Delta Mass:-16.03)',quetiapine|quetiapine ,quetiapine,both,Drug_analog,atypical antipsychotic,neurology/psychiatry,schizophrenia|bipolar disorder,atypical antipsychotic
18266,CCMSLIB00013642519,301.0719496,4.878653,"Massbank:AU155703 Temazepam|7-chloro-3-hydroxy-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",temazepam,temazepam,temazepam,drug_only,Medical,benzodiazepine,neurology/psychiatry,insomnia,benzodiazepine
5025,CCMSLIB00013643761,240.1609562,1.9811819,Massbank:AU110002 Salbutamol|4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,salbutamol,salbutamol,salbutamol,drug_only,Medical,beta-2 adrenergic agonist,pulmonary,asthma,beta-2 adrenergic agonist
10121,CCMSLIB00013650669,268.1986365,3.5564985,metoprolol,metoprolol ,metoprolol ,metoprolol ,drug_only,Medical,beta-adrenergic receptor inhibitor,cardiology,hypertension|angina pectoris|myocardial infarction,beta-adrenergic receptor inhibitor
13635,CCMSLIB00013653935,260.1642228,4.0184855,PROPRANOLOL,propranolol,propranolol,propranolol,drug_only,Medical,beta-adrenergic receptor inhibitor,cardiology|neurology/psychiatry,hypertension|angina pectoris|migraine headache|essential tremor,beta-adrenergic receptor inhibitor
7545,CCMSLIB00013642522,130.1086542,2.614611,0331_Metformin,metformin,metformin,metformin,drug_only,Medical,biguanide,endocrinology,type 2 diabetes mellitus,biguanide
28750,CCMSLIB00013649544,315.231822,6.877911,"Massbank:EQ362902 delta9-Tetrahydrocannabinol|delta9-THC|6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",dronabinol,dronabinol,dronabinol,drug_only,Medical,cannabinoid,gastroenterology|neurology/psychiatry,anorexia|weight loss|nausea|vomiting,cannabinoid
26293,CCMSLIB00013650686,315.2317818,6.386367,"Massbank:EQ362902 delta9-Tetrahydrocannabinol|delta9-THC|6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",dronabinol,dronabinol,dronabinol,drug_only,Medical,cannabinoid,gastroenterology|neurology/psychiatry,anorexia|weight loss|nausea|vomiting,cannabinoid
30914,CCMSLIB00013650696,315.2319001,7.25895,"Massbank:EQ362902 delta9-Tetrahydrocannabinol|delta9-THC|6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",dronabinol,dronabinol,dronabinol,drug_only,Medical,cannabinoid,gastroenterology|neurology/psychiatry,anorexia|weight loss|nausea|vomiting,cannabinoid
11031,CCMSLIB00013650739,224.1703405,3.5498173,related spectra of 'alprenolol  (Delta Mass:-26.02)',related spectra of 'alprenolol  (Delta Mass:-26.02)',alprenolol,alprenolol,analog_only,Drug_analog,beta-adrenergic receptor inhibitor,cardiology,angina pectoris,cardiology medication
8342,CCMSLIB00013652930,267.1698503,2.541951,(R)-(+)-Atenolol,atenolol ,atenolol ,atenolol,both,Medical,beta-adrenergic receptor inhibitor,cardiology,hypertension|angina pectoris|acute myocardial infarction,cardiology medication
8702,CCMSLIB00013643763,268.1534941,2.989804,Massbank:AU202506 Atenolol acid|Metoprolol acid|2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetic acid,metoprolol acid,atenolol|metoprolol,atenolol,both,Drug metabolite,beta-adrenergic receptor inhibitor,cardiology,hypertension|angina pectoris|myocardial infarction,cardiology medication
3270,CCMSLIB00013650743,270.1691388,1.4108276,related spectra of 'bisoprolol (Delta Mass:-56.06)',related spectra of 'bisoprolol (Delta Mass:-56.06)',bisoprolol,bisoprolol,analog_only,Drug_analog,beta-adrenergic receptor inhibitor,cardiology,hypertension,cardiology medication
16394,CCMSLIB00013654470,407.1959672,4.4531465,Carvedilol - 40.0 eV,carvedilol,carvedilol,carvedilol,both,Medical,alpha adrenergic blocker|beta-adrenergic receptor inhibitor,cardiology,myocardial infarction|hypertension,cardiology medication
14031,CCMSLIB00013650725,393.1861015,4.2509212,related spectra of 'Carvedilol (Delta Mass:-14.016)',related spectra of 'carvedilol (delta mass:-14.016)',carvedilol|carvedilol,carvedilol,both,Drug_analog,alpha adrenergic blocker|beta-adrenergic receptor inhibitor,cardiology,myocardial infarction|hypertension,cardiology medication
15446,CCMSLIB00013653914,423.1896246,4.211661,related spectra of 'Carvedilol (Delta Mass:15.995)',related spectra of 'carvedilol (delta mass:15.995)',carvedilol|carvedilol,carvedilol,both,Drug_analog,alpha adrenergic blocker|beta-adrenergic receptor inhibitor,cardiology,myocardial infarction|hypertension,cardiology medication
13235,CCMSLIB00013650724,359.1376915,4.0262566,"""related spectra of 'Massbank:AU229006 Desacetyldiltiazem|(2S,3S)-5-[2-(dimethylamino)ethyl]-3-hydroxy-2-(4-methoxyphenyl)-2,3-dihydro-1,5-benzothiazepin-4-one (Delta Mass:-14.016)'""","related spectra of 'massbank:au229006 desacetyldiltiazem|(2s,3s)-5-[2-(dimethylamino)ethyl]-3-hydroxy-2-(4-methoxyphenyl)-2,3-dihydro-1,5-benzothiazepin-4-one (delta mass:-14.016)'",deacetyldiltiazem,diltiazem,both,Drug_analog,nondihydropyridine calcium channel blocker,cardiology,hypertension|angina pectoris,cardiology medication
13793,CCMSLIB00013654468,373.1615084,3.9301925,"Massbank:AU229002 Desacetyldiltiazem|(2S,3S)-5-[2-(dimethylamino)ethyl]-3-hydroxy-2-(4-methoxyphenyl)-2,3-dihydro-1,5-benzothiazepin-4-one",deacetyldiltiazem,diltiazem,diltiazem,both,Drug metabolite,nondihydropyridine calcium channel blocker,cardiology,hypertension|angina pectoris,cardiology medication
12253,CCMSLIB00013654472,387.1391627,3.8594248,related spectra of 'MLS001148257-01!(+)-CIS-DILTIAZEM HYDROCHLORIDE (Delta Mass:-28.031)',related spectra of 'mls001148257-01!(+)-cis-diltiazem hydrochloride (delta mass:-28.031)',diltiazem,diltiazem,both,Drug_analog,nondihydropyridine calcium channel blocker,cardiology,hypertension|angina pectoris,cardiology medication
13641,CCMSLIB00013650668,377.2091694,4.029516,Massbank:AU271806 Enalapril|(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid,enalapril,enalapril,enalapril,both,Medical,angiotensin converting enzyme inhibitor,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|chronic kidney disease,cardiology medication
9557,CCMSLIB00013650690,349.1761863,3.3176012,Enalaprilat,enalaprilat ,enalaprilat ,enalapril,both,Medical,angiotensin converting enzyme inhibitor,cardiology,hypertension,cardiology medication
9562,CCMSLIB00013654469,164.109978,3.3204384,Hydroquinidine CollisionEnergy:102040,hydroquinidine,hydroquinidine,hydroquinidine,drug_only,Medical,antiarrhythmic,cardiology,cardiac arrythmia,cardiology medication
18209,CCMSLIB00013654470,451.2135753,4.7591767,Irbesartan,irbesartan,irbesartan,irbesartan,both,Medical,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,cardiology medication
14681,CCMSLIB00013650722,445.2379958,4.409354,"""related spectra of 'Massbank:AU209410 Irbesartan|2-butyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one (Delta Mass:15.995)'""","related spectra of 'massbank:au209410 irbesartan|2-butyl-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one (delta mass:15.995)'",irbesartan,irbesartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,cardiology medication
12389,CCMSLIB00013650664,461.2366875,3.820062,"""related spectra of 'Massbank:AU209410 Irbesartan|2-butyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one (Delta Mass:31.99)'""","related spectra of 'massbank:au209410 irbesartan|2-butyl-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one (delta mass:31.99)'",irbesartan,irbesartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,cardiology medication
15519,CCMSLIB00013650698,459.2233173,4.685496,"""related spectra of 'irbesartan (Delta Mass:29.97)', 'olmesartan  (Delta Mass:30.01)'""",related spectra of 'irbesartan (Delta Mass:29.97)'|'olmesartan  (Delta Mass:30.01)',irbesartan|olmesartan ,irbesartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,cardiology medication
18168,CCMSLIB00013650725,423.1692032,4.795913,Massbank:AU228003 Losartan|[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,losartan,losartan,losartan,both,Medical,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
16183,CCMSLIB00013650693,421.1545627,4.4918942,Losartan carboxaldehyde,losartan carboxaldehyde,losartan,losartan,both,Drug metabolite,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
13467,CCMSLIB00013643749,455.1613377,4.018779,related spectra of 'losartan (Delta Mass:31.99)',related spectra of 'losartan (Delta Mass:31.99)',losartan,losartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
18277,CCMSLIB00013653982,405.1629846,4.8743925,related spectra of 'losartan (Delta Mass:-18.01)',related spectra of 'losartan (Delta Mass:-18.01)',losartan,losartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
17646,CCMSLIB00013649543,439.1634106,4.4829607,related spectra of 'losartan (Delta Mass:18.01)',related spectra of 'losartan (Delta Mass:18.01)',losartan,losartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
16099,CCMSLIB00013653991,442.1644027,4.4483085,related spectra of 'losartan (Delta Mass:18.99)',related spectra of 'losartan (Delta Mass:18.99)',losartan,losartan,both,Drug_analog,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,cardiology medication
